"","x"
"1","Anjing bangsat. Uang udh di trf. Tiba tiba di batalkan. Lu gila, udh gw tunggu 3 hari gad kejelasan bangsat."
"2","banyak diskonya, simple, makasih agoda"
"3","Lebh di perbanyak untuk kemudahan bayar di properti... Lain nya good👍"
"4","Baik"
"5","Mudah dan harga murahh"
"6","Mengecewakan pesen kamar triple di down grade kamar double tanpa pemberitahuan dan harga yg ditagihkan senilai harga triple, benar ternyata kalau tidak mau rugi jangan pesen lewat agoda."
"7","saya sudah pesen tgl 26 desember 2019 untuk menginap tgl 1 januari 2020 di verse hotel cirebon. pembayaran lewat indomaret sudah berhasil, tetapi verifikasi tidak muncul malah pemesanan dibatalkan di email, saya konfirmasi lewat email tidak bisa. bagaimana saya bisa mendapatkan uang saya kembali. pi...Ulasan Lengkapsaya sudah pesen tgl 26 desember 2019 untuk menginap tgl 1 januari 2020 di verse hotel cirebon. pembayaran lewat indomaret sudah berhasil, tetapi verifikasi tidak muncul malah pemesanan dibatalkan di email, saya konfirmasi lewat email tidak bisa. bagaimana saya bisa mendapatkan uang saya kembali. pihak indomaret tidak bisa mengembalikan karena transaksi sudah berhasil. kami jadi takut lagi pesen ke agoda. terimakasih"
"8","Lihat di website, harga agoda lebih murah drpd plat biru.. Tp lihat di aplikasi banyak yg komen minus.. Jd tetep pesen lewat tra***oka saja"
"9","Sudah dibayar tiba tiba cancel sendiri"
"10","Good"
"11","Kurang bagus...sudah psn hotel sdh di bayar masa tau2 di batalin dr pihak agoda mana uangnya gak balik"
"12","Tolong agoda, uang saya sudah saya kirim lewat indomaret untuk memesan hotel, setelah saya transfer ada pembatalan oleh pihak agoda, saya sudah ke indomaret meminta uang kembali tapi tidak bisa, tolong gimana ini?, saya sudah kirim email ke cs agoda tapi belum ada respon sampai sekarang, saya kecewa...Ulasan LengkapTolong agoda, uang saya sudah saya kirim lewat indomaret untuk memesan hotel, setelah saya transfer ada pembatalan oleh pihak agoda, saya sudah ke indomaret meminta uang kembali tapi tidak bisa, tolong gimana ini?, saya sudah kirim email ke cs agoda tapi belum ada respon sampai sekarang, saya kecewa, saya minta uang saya kembali"
"13","Memudahkan yg suka travelling"
"14","Ngk ribet .banyak discoutnnya. Mantab"
"15","Tolong di bantu dong, kenapa pemesanan saya di batal kan, ini udah ke 2 kali nya, jangan bikin kapok orang dong. Saya jadi rugi setelah ada pembayaran, dari pihak agoda nya malah membatal kan, kita booking hotel karena mau liburan bukan di bikin pusing begini, di telpon cs nya tidak bisa, di email p...Ulasan LengkapTolong di bantu dong, kenapa pemesanan saya di batal kan, ini udah ke 2 kali nya, jangan bikin kapok orang dong. Saya jadi rugi setelah ada pembayaran, dari pihak agoda nya malah membatal kan, kita booking hotel karena mau liburan bukan di bikin pusing begini, di telpon cs nya tidak bisa, di email pun tidak respon. Mohon bantuan nya sekarang..."
"16","Aplikasi tai udah bayar 400rb lebih di Indomaret tiba"" dibatalkan seenak udelnya, uangnya kemana goblok"
"17","Respon cepat, dan murah"
"18","aplikasi nya gak bagus...sudah pesen hotel pas dibayar masa langsung dr pihak agoda di batalin mana uangnya gak kembali...nyesel pake agoda...call center di telepon juga gak bisa"
"19","Dulu ada pilihan menu bayar pakai Transfer bank.. sekarang kok tidak ada ya.. yg ada suruh pakai credit cards dan bayar via ind*mart.. kan jd males booking lagi"
"20","2 kali order via Agoda...ke jogja dan ke Malang semua memuaskan..smg next trip jauh lebih baik...tq Agoda"
"21","oke"
"22","Mantab"
"23","Seperti kebanyakan orang yang sudah ketipu, sudah bayar pas sudah dilokasi dicancel sepihak dan tidak ada respon dari cs. Agoda taek"
"24","Selalu terbaik"
"25","Mantap"
"26","Aplikasi ini bikin deg-degan...begitu uda boking dan terus bayar melalui transferan menunggu balasan lama banget trus pesanannya gagal padahal masih dalam limit waktu pembayaran,,telpon ke call center susah masuk. Ini aplikasi kayak lagi nyari nasabah deposito?"
