"","x"
"1","Pilihannya banyak dan harga terjangkau, CSnya gerak cepat"
"2","Bagus"
"3","Sudah bagus"
"4","Smua room ok"
"5","Harga yang lebih murah di banding dg yg lain nya Airy sipp"
"6","Ok"
"7","Puas banget pake Airy, proses konfirmasi nya cepat..stlh proses pembayarn sls...langsung kta dapat konfrmasi voucher , gak sampai 30 mnt"
"8","Saya suka Airy semua mudah dan pelayanan nya ramah,namun sewaktu saya menginap di dago golf raya bandung ada fasilitas yg kurang memuaskan..ya itu tidak ada air hangat untuk mandi dan air wastapel tidak berpungsi normal kadang keluar air kadang tidak,serta televisi nya hanya bergambar semut..tolong ...Ulasan LengkapSaya suka Airy semua mudah dan pelayanan nya ramah,namun sewaktu saya menginap di dago golf raya bandung ada fasilitas yg kurang memuaskan..ya itu tidak ada air hangat untuk mandi dan air wastapel tidak berpungsi normal kadang keluar air kadang tidak,serta televisi nya hanya bergambar semut..tolong di perbaiki.."
"9","Cukup memuaskan"
"10","Bagus"
"11","Aplikasi baru lebih lemot"
"12","Oke"
"13","Bagus banget, harga bersahabat banget."
"14","Pemesanan mudah, harga kamar relatif murah dibandingkan aplikasi sewa penginapan lainnya"
"15","Ok"
"16","Oke mencari penginapan lebih mudah"
"17","Mantap..bisa di rekomendasikan bagi kawan2 yg suka traveling"
"18","Hotel murah"
"19","Mantap"
"20","Pilihan tepat untuk mencari hotel ketika liburan atau ada acara lain nya.terima kasih"
"21","Standart kebersihan dan fasilitas nya mencukupi. Belum pernah mengecewakan saya."
"22","Airy memang top"
"23","Good"
"24","Bagus"
"25","Puas 0ake airy👍"
"26","Sangat membantu sekali kalo mau Pesan Kamar HoteL Dan Penginapan Terimakasih Airy"
"27","gak ribet"
"28","Tiket paling murah Ok banget bro"
"29","Makasih ya sudah memudahkan ururan kami di airy room harga super terjangkau terus berapapun harga kamar tetep dapat minum dan snack ,beberapa aplikasi lain ngga ada layanan ini,thankyou❤️"
"30","Terima kasih aplikasi airy mantap. Memudahkan saya untuk pesan kamar hotel."
"31","Mantap"
"32","Mantapp,bersih,nyaman.. puas bngt pelayanannya,terimakasih Airy"
"33","Airy lebih bagus dibanding aplikasi2 yg baru"
"34","Pesan kamr harus bayar tranfer apa di tempat"
"35","simple"
"36","Ok"
"37","mantap"
"38","Good job.. selanjutnya banyakin promo lagi yah.. heheheee.. *salam traveler backpacker"
"39","ok mantap"
"40","Siaran tv nya lebih di bagusin aja biar ga kresekkresek chanel nya"
"41","Sekarang Harga Hotel nya agak mahal, kalo bisa dikurangin kaya dulu lagi, supaya customer atau pengguna bisa lebih memilih ke Airy, dan tidak melirik ke lain hati atau aplikasi yg lainnya."
"42","Luar biasa, mudah pembelian tiket pesawat & discount slalu ada"
"43","Bagus tepatnya bersih smoga kdepan bisa lebih baik lg"
"44","Puassss bngt mesen tiket dr airy,,beda dr yg laen dh"
"45","Mau refund tiket pesawat susah banget"
"46","Top"
"47","Bersih dan murah meriah"
"48","Memudahkan mencari Hotel"
"49","Ok"
"50","Satu yang paling kami sekeluarga suka. Selalu terjaga kebersihan dan keramahan pelayanannya."
"51","Airy sangat bertanggung jawab dan respon cepat.. Thanks airy"
"52","Membantu mempermudah untuk menginap😎"
"53","Enak terus harga terjangkau"
"54","Sangat kecewa dengan penginapan airy room eco syariah ruko kali deres indah. Pelayanan resepsionis nya sangat tidak menyenangkan.jutek kyk gua numpang tidur gratis aja..sgt tdk profesional..pesan tidur rencananya semalam aja tapi eh sgt kecewa dan sebel bgt dgn resepsionis nya."
"55","Mantul"
"56","Mantap"
"57","Ok"
"58","Saya sering puas nginap di Airy..meskipun ada bbrp tempat Airy yg kurang sesuai. Semoga terus ditingkatkn pelayanannya dan ada kontrol dari pusat untk anggota Airy room"
"59","Good"
"60","Cari Tiket yg cepat pakai Airy....."
"61","LUMAYAN"
"62","Avarage is good"
"63","Goodtraveling"
"64","Sangat memuaskan guys😍"
"65","👍🏻"
"66","Pelayanan yang puas,dan diskon yang puas"
"67","Bagus dan simple"
"68","Bersih, ramah"
"69","Servis room diingkatkn lg yabak"
"70","Ok"
"71","setiap mau bayar selalu berubah harganya ..."
"72","👍👍👍"
"73","Tops"
"74","Cukup bagus"
"75","Mewah"
"76","airy syariah oke"
"77","Semoga makin banyak diskonnya"
"78","Bisa dibilang, paling murah si dibanding app yg lain.."
"79","Sangat membantu ketika sedang berada jauh dari tempat tinggal"
"80","Siiiip"
"81","Ok"
"82","Mantapp membantu sekali"
"83","Lbh Murah sesuai dr pd pesan kamar dtmpt"
"84","cepat dan tepercaya 👍👍👍"
"85","Pelayanan ramah, kamar bersih... Terimakasih 🙏😇"
"86","Rrr"
"87","Sangat memuaskan dan hrga murahhhh plyanan klas atas"
"88","Mantab"
"89","Bagus banget recomended"
"90","seneng sih bisa liburan tanpa keluar banyak budget thank you airy"
"91","Harga hampir selalu lebih murah dibandingkan dengan aplikasi lainnya"
"92","mantap."
"93","Pertama kali pakai airy alhamdulillah tidak mengecewakan, layanan cepat, penginapan pun bagus, semoga tetap dipertahankan terima kasih airy"
"94","Menyenangkan"
"95","Ok"
