"","x"
"1","Sangat membantu"
"2","Saya udh melakukan pemesan hotel oyo kida putih d yogyakarta,udh byr full ternyata hotel penuh..dan penjaga hotel meminta saya membatalkan nya..dan tlp k cs oyo..tp pihak oyo sibuk semua..gimana saya mau pengembalian dana yg udh saya byrkan..krna hotel penuh..saya minta refund pengembalian..krna pih...Ulasan LengkapSaya udh melakukan pemesan hotel oyo kida putih d yogyakarta,udh byr full ternyata hotel penuh..dan penjaga hotel meminta saya membatalkan nya..dan tlp k cs oyo..tp pihak oyo sibuk semua..gimana saya mau pengembalian dana yg udh saya byrkan..krna hotel penuh..saya minta refund pengembalian..krna pihak hotel menyuruh buat d batalkan..krna hotel penuh"
"3","hotel busuk hotel ampasss Ac ga dingin kamar jorok"
"4","Nice aplikasi untuk travelling..great.."
"5","TIDAK USAH INSTALL APLIKASI INI, PENIPU!! TIDAK ADANYA KERJASAMA DENGAN PIHAK HOTEL TERKAIT. SISTEM YG GAK JELAS BANGSAT KAU OYO MOGA SELALU SUKSES YA.. BUAT YG MAU DOWNLOAD APLIKASI INI TIDAK SAYA REKOMENDASIKAN, PERCAYALAH!! DARIPADA KALIAN SEMUA MENYESAL. UNINSTALL AJA APLIKASI TAI TAI OYO OYO KA...Ulasan LengkapTIDAK USAH INSTALL APLIKASI INI, PENIPU!! TIDAK ADANYA KERJASAMA DENGAN PIHAK HOTEL TERKAIT. SISTEM YG GAK JELAS BANGSAT KAU OYO MOGA SELALU SUKSES YA.. BUAT YG MAU DOWNLOAD APLIKASI INI TIDAK SAYA REKOMENDASIKAN, PERCAYALAH!! DARIPADA KALIAN SEMUA MENYESAL. UNINSTALL AJA APLIKASI TAI TAI OYO OYO KAYA TAI"
"6","Aplikasi tidak jelas, kesalahan dari pihak hotel uang tidak bisa di refund, info kurang jelas, payanan kurang memuaskan"
"7","Aplikasi tidak jelas, kesalahan dari pihak hotel uang tidak bisa di refund, info kurang jelas, payanan kurang memuaskan"
"8","👍👍👍"
"9","Kek tai"
"10","bagus"
"11","Hey oyo, udah dapat untung brp dr perbuatanmu wahai oyo, udah boking udah tranfer dp, tp pas sampe lokasi, kok lu cancel gtu aja dan dp gua hangus, penipuan banget, lu liat udah brp korban lu noh, termasuk gua"
"12","Good"
"13","Sukses selalu"
"14","Mantap sukses oyo"
"15","👌 bnyk opsi buat nginap di hotel"
"16","Ok banget"
