"","text"
"1","bantu"
"2","mesan hotel kida putih yogyakarta byr full hotel penuh jaga hotel batal telepon kak sibuk kembali dana byrkan hotel penuh refund kembali pih ulas lengkapsaya mesan hotel kida putih yogyakarta byr full hotel penuh jaga hotel batal telepon kak sibuk kembali dana byrkan hotel penuh refund kembali hotel suruh batal hotel penuh"
"3","hotel busuk hotel ampas ac dingin kamar jorok"
"4","nice aplikasi travelling great"
"5","install aplikasi tipu kerjasama hotel kait sistem bangsat kau moga sukses ya download aplikasi rekomendasi percaya sesal uninstall aplikasi tahi tahi kak ulas lengkaptidak install aplikasi tipu kerjasama hotel kait sistem bangsat kau moga sukses ya download aplikasi rekomendasi percaya sesal uninstall aplikasi tahi tahi kayak tahi"
"6","aplikasi salah hotel uang refund info payanan muas"
"7","aplikasi salah hotel uang refund info payanan muas"
"8",""
"9","kayak tahi"
"10","bagus"
"11","hey untung buat boking tranfer dp pas lokasi lu cancel dp gua hangus tipu banget lu lihat korban lu noh gua"
"12","good"
"13","sukses"
"14","mantap sukses"
"15","opsi nginap hotel"
"16","ok banget"
"17","tolong download urung niat aplikasi brengsek booking bayar via kartu kredit pas h cancel alas telepon susah angkat angkat bilang tunggu tunggu bilang salah sistem vanesa nama optny bayang ulas lengkaptolong download urung niat aplikasi brengsek booking bayar via kartu kredit pas h cancel alas telepon susah angkat angkat bilang tunggu tunggu bilang salah sistem vanesa nama optny bayang loh bayar bandung jakarta bookingan cancel alas profesional bilang rekan rekan aplikasi laku"
"18","bagus kantong"
"19","bookingan dibatalin konfirmasi customer hotel info dibatalin kecewa banget profesional"
"20","lokasi strategiss good"
"21","bagus"
"22","aplikasi setan habis duit hilang boking hotel"
"23","aplikasi brengsek duit hilang apliksi anjing"
"24","aplikasi kontol boking kamar tggl desember pas hotel kamar sedia tau pura tau buang mkai aplikasi sungguh sngat kesal"
"25","muas logo besar kalo masuk daera sepi suka"
"26","parah condotel thamrin boking capek kesno tau full aneh banget recommen"
"27","ok banget"
"28","ok"
"29","good"
"30","ok"
"31","recomended"
"32","tipu cek gagalin refund moga rezeki berkah ya amin"
"33","tolong mesan hotel bayar batal uang kembal super kayak ambil untung langgan"
"34","kalo bintang gue kasing bintang sesal gue download aplikasi enak cancel tampa komfirmasi"
"35","terdebesstt"
"36","cepat dang rama"
"37","apk goblok lu kalo cari untung kayak ya bohong castamer"
"38","mantap"
"39",""
"40","bagus"
"41","aplikasi buruk booking pas hotel penuh ajar suruh tidur masjid buruk buluq aplikasi jelek maaf ya"
"42","mohon bimbing resepsionist perempuan nama kenal maka name tag hotel patraland urbano bekas check tunggu jam menit check aplikasi sms centre jam ulas lengkapmohon bimbing resepsionist perempuan nama kenal maka name tag hotel patraland urbano bekas check tunggu jam menit check aplikasi sms centre jam check out suruh bayar charge noda sprei tara biaya inap malam resepsionist"
"43","mesan hotel bayar masuk notifikasi pesan pesananan batal pemberitahuan batal uang bayar mobile ulas lengkaptanggal mesan hotel bayar masuk notifikasi pesan pesananan batal pemberitahuan batal uang bayar mobile banking hangus refund sungguh kecewa trauma konsumen"
"44","mudah cari inap"
"45","mintak email indonesi escalaeions lanjut ya cencel lanjur trasfer mohon mintak email lengkap"
"46","lag eror"
"47","mesan hotel bayar menit selesai bayar ganti tuju hotel mengclaim uang"
"48","pakai aplikasi rugi bayar pagi malam tagih"
"49","bagus"
"50","tolong orang kurang nikmat"
"51","top"
"52","tipu aplikasi booking kamar passer baroe jakarta harga malam malam fasilitas hotel nol kamar kotor toilet jorok air mineral sabun ulas lengkapsaya tipu aplikasi booking kamar passer baroe jakarta harga malam malam fasilitas hotel nol kamar kotor toilet jorok air mineral sabun sprei kasur kotor lokasi gang sempit harga super mahal hotel harga kamar"
"53","inap bagus p"
"54","mantull"
"55","mantaps salah moga batal"
"56","sistem manajemen cuman cari untung konsumen mu pikirin bang sd kamar standar harga langit lu mudah orang libur bunuh orang pas libur sistem b sih batu jawa timur kuasa antek konsumen ha ulas lengkapgmna sistem manajemen cuman cari untung konsumen mu pikirin bang sd kamar standar harga langit lu mudah orang libur bunuh orang pas libur sistem b sih batu jawa timur kuasa antek konsumen ikut atur sistem bayang hotel batu patok minimal harga ribu standar kualitas kamar minim ribu hotel bang sd"
"57","mantap"
"58","bagus"
"59","good"
"60","good"
"61","moga senantiasa mudah harga affordable pilih hotel"
"62","tolong kembal uang transper bukti tsbt terima pasang lokasi ken bawa pasang luar nikah suruh cancel cancel suruh kirim email kirim email tunggu hari ulas lengkaptolong kembal uang transper bukti tsbt terima pasang lokasi ken bawa pasang luar nikah suruh cancel cancel suruh kirim email kirim email tunggu hari prrtanggung tolong coba pakai aplikasi"
"63","flexibel mudah"
"64","telpon residence mesjid raya medan perihal uang deposit harao balas"
"65","ok"
"66","booking ekspetasi gambar suai gambar bagus kecewa"
"67","alam inep mangga husada rumah sakit buruk ayan resepsionis sopan sok banget kagak ramah tamu"
"68","report report"
"69","ayan oke"
"70","aplikasi payah room penuh jual langgan oper inap room penuh konfirmasi pusat tunggu refund"
"71","sumpaah kecewa booking bayar inap ketemu call via nomer aplikasi angkat bilang telp call center solusi mhn maaf lapor wajib rugi ha ulas lengkapsumpaah kecewa booking bayar inap ketemu call via nomer aplikasi angkat bilang telp call center solusi mhn maaf lapor wajib rugi sila tanggap kali jam lapor kait"
"72","puas"
"73","kasih bintang nginap hotel nyaman fitur atur jam kedtangannya adakan kayak kalo chekin malam kalo mash luar susah"
"74","kecewa transfer sistem terang bayar tunggu pemberitahuan cancel terang bayar"
"75","tempat nyaman bersih sesal"
"76","kali bagus malam cancel konfirmasi refund uang transfer lambat banget proses konfirmasi kecewa banget"
"77","proses mudah"
"78","verrygood"
"79","kode promo budiqnxwqb masuk daftar masuk nama dapat potong inap voucher nilai kak"
"80","lupa masuk kode undang sandgwroq dapetkan voucher ribu rupiah buru"
"81","sip"
"82","cancel uang ckckckkck"
"83",""
"84","jangkau"
"85","mantap"
"86","ok"
"87","ok"
"88","profesional booking hotel life pratama homestay bayar banking masuk dikerenakan terlambag bayar bayar menit uang nyangkut email hotel indonesia telpon customer service ulas lengkapsangat profesional booking hotel life pratama homestay bayar banking masuk dikerenakan terlambag bayar bayar menit uang nyangkut email hotel indonesia telpon customer service solusi konfirmasi refund jadi customer kecewa"
"89","good"
"90","oke"
"91","mantap"
"92","puas jogja eror apk sedia kamar penuh transfer dana kembal"
"93","aplikasi bagus banget bantu cari hotel harga sahabat fasilitas lumayan tingkat ya"
"94","mantap"
"95","hancur parah booking pas jaga jam malam istirahat telpon operator kode booking pin nama telepon temu jaga jaga parah lantar sesal pesan hotel hancur keluarga sodara ulas lengkapoyo hancur parah booking pas jaga jam malam istirahat telpon operator kode booking pin nama telepon temu jaga jaga parah lantar sesal pesan hotel hancur keluarga sodara teman rekomendasi tahi"
"96","cepat mudah"
"97",""
"98","kecewa banget banget transfer pas chek hotel bilang harga bilang kamar full masuk akal banget booking bayar jam setngah malam suruh cari hotel gila ulas lengkapkecewa banget banget transfer pas chek hotel bilang harga bilang kamar full masuk akal banget booking bayar jam setngah malam suruh cari hotel gila sekrg refund uang belit banget suruh buka link link buka recomend banget aplikasi kalo bilang tipu balikin duit gue woy"
"99","bayar paruh dp tuju kamar bilang full uang dp bayar paruh saya uang hangus kena biaya batal salah nanggung aplikasi rugi orang sesal"
"100","buruk banget booking bayar sebelom check batal alas tlpn adahal tdm tlpn peryanghung buruk"
"101","mesan hotel daerah bsd desember bayar hasil pergi hotel tuju malam pas hotel tutup tugas segel pol pp aplikasi lapang sistem apl ulas lengkapsaya mesan hotel daerah bsd desember bayar hasil pergi hotel tuju malam pas hotel tutup tugas segel pol pp aplikasi lapang sistem aplikasi hotel sedia notif tepat jam pikir kah tidur mana malam uang"
"102","bantu"
"103","mantap bantu carik murah jempol"
"104","aplikasi mudah ribet hotel nyaman bersih bagus"
"105","bagus"
"106","buruk uang kerja"
"107","mntap"
"108","kecewa boking minggu byr kas hotel bilang maaf hotel penuh surabaya bal kecewa bilang maaf sgra refund solusi baik baca keluh pesan mending teaveloka ulas lengkapsaya kecewa boking minggu byr kas hotel bilang maaf hotel penuh surabaya bal kecewa bilang maaf sgra refund solusi baik baca keluh pesan mending teaveloka libur hasil"
"109",""
"110","lambat"
"111","kali pesan hotel via kecewa kecewa berat hotel pesan operator aktif hp kecewa sesal pesan"
"112","parah tf pembyran batal tidk refund aplikasi terang apa batal tlfon bilang bayar suruh email id boking id bokingnya aplikasi terang batal tbatba hotel pesan tid ulas lengkapparah tf pembyran batal tidk refund aplikasi terang apa batal tlfon bilang bayar suruh email id boking id bokingnya aplikasi terang batal tbatba hotel pesan temu"
"113","cocok layak rekomendasi tuju hotel foto tampil hotel tipu no refund refund jamin download aplikasi aplikasi tipu tanggung percaya foto ditampilk ulas lengkapoyo cocok layak rekomendasi tuju hotel foto tampil hotel tipu no refund refund jamin download aplikasi aplikasi tipu tanggung percaya foto tampil suai hubung suruh pesan kasih mati recomended"
"114",""
"115","good"
"116","kecewa putus refund uang hangus ribu"
"117","murah hotel bagus"
"118","kecewa ayan refund tulis refund desember jelas click butuh bantu salah minta refund deteksi refund refund desember"
"119","pakai kecewa booking transfer cancel sistem uang dikembaliin kirim komplain email balas lanjut pas email ulang balas"
"120","ayan profesional"
"121","bayar transfer cancel email telpon sibuk aplikasi refund suruh hubungin hubungin id mesan wksb"
"122","bayar pagi hp off hubung cansel masuk akal bgtz bayar serah jadwal cekin itu jam bgtz bayar lunas kemb ulas lengkapsaya bayar pagi hp off hubung cansel masuk akal bgtz bayar serah jadwal cekin itu jam bgtz bayar lunas kembal"
"123","kloo bayar"
"124","bayar aplikasi bookingan hilang refund"
"125","baharu booking salah coba a salah"
"126","murah nyaman asik"
"127","good"
"128","woy anjing balikin duit gue anjing dasar aplikasi maling bangsat anjing tagih tim kait jelas dasar bangsat anjing aplikasi bangsat"
"129","download aplikasi bagus pesan kamar cemara gading pas transfer atm aplikasi pesan cancel uang hilang tuh makan tuyul uang gue ikhlas duit gue lu makan no ulas lengkapjangan download aplikasi bagus pesan kamar cemara gading pas transfer atm aplikasi pesan cancel uang hilang tuh makan tuyul uang gue ikhlas duit gue lu makan no booking rqxc"
"130","moga"
"131","aplikasi sistem terorganisir mana mesan salah hotel aplikasi booking transfer check hotel hotel kait full kesalahpamahan hotel tanda refund hotel sih ulas lengkapaplikasi sistem terorganisir mana mesan salah hotel aplikasi booking transfer check hotel hotel kait full kesalahpamahan hotel tanda refund hotel sungguh sungguh mengecewakaan"
"132","good enough"
