"","x"
"1","Apaan ini tempat gajelas respon lambat sudah sampai di tempat namun di batalkan dan sudah membayar dan dana saya gimana penipu ini"
"2","Sangat tidak direkomendasikan.... tidak sesuai dengan pemesanan"
"3","Bersih.. Nyaman"
"4","Sudah boking sudah bayar tapi pas di lokasi bilangnya kamar full. Dan menyuruh membatalkan pemesanan. Hati"" Yg mau ke My Exs Hostel near berawa beach bali."
"5","Murah nyaman bermanfaat"
"6","Bagusss"
"7","Mudah dan murah"
"8","Luaarrr biasa, pelayanan yg sangat memuaskan dari reddoorz, sukses slalu buat aplikasi reddoorz"
"9","Gak guna"
"10","Harga bersaing"
"11","Lumayan"
"12","Mantap"
"13","👍"
"14","Ok"
"15","Saya selalu pakai Redoordz dimanapun berada. Di Yogyakarta ataupun di Jakarta"
"16","Mantap"
"17","Tanggapan chatnya lambat"
"18","Bagus"
"19","Cepat tanggap & tdk bertele-tele.... Kmr bersih & nyaman"
"20","Saya blm mendapatkan refund saya sampe sekarang"
"21","Oke"
"22","Membantu"
"23","Resepsionisnya kurang ramah"
"24","Sangat membantu cari hotel di lokasi asing"
"25","Proses pemesanan cepat"
"26","Seharus nya di aplikasi tertera ketentuan yg berlaku seperti cek in pagi kena cas 50 rb atau ketentuan lainnya Ini pas usah smpai hotel bru di jlaskan kena cas atau lain sbgai nya Klw udah smapai htel mau gak mau ya byar"
"27","Terbaikkk dan Termurahhh, sering seringlah ngasih promo :D"
"28","Mantap.."
"29","Tempatnya bersih dan pelayanannya bagus"
"30","Pengalaman pertama pakai RedDoorz sangat memuaskan Resepsionis n pegawainya ramah ramah Kamar bersih rapi KM bersih n rapi Air ngalirnya kencang hot n cold Semoga kedepannya RedDoorz lebih baik n bagus lagi n semoga lebih ditingkatkan lagi pelayanan n kenyamanannya Terimakasih RedDoorz😍😍😍😍"
"31","Good"
"32","Ok"
"33","god jobs"
"34","Sep"
"35","Very good"
"36","Good"
"37","Mudah sangat membantu..thx y."
"38","Terbaik daah tahun bru tetap murah"
